Economia,%Disminución_de_crecimiento_en_consumo_CP,%Disminución_de_crecimiento_en_consumo_LP,Disminucion_de_crecimiento_de_la_inversion_CP,%Disminucion_de_crecimiento_de_la_inversion_LP,%Disminucion_de_ingresos_por_turismo_CP,%Disminucion_de_ingresos_por_turismo_LP,%Indice_de_rigurosidad_promedio,%Movilidad_promedio
Bangladesh,7.7,11.55,12.1,18.15,-0.07,-0.11,92.5,-56.6
Bhutan,6.6,9.9,9.57,14.35,-2.76,-4.0,84.1,no data
Brunei Darussalam,6.42,9.64,8.97,13.46,-0.78,-1.13,57.4,no data
Cambodia,4.27,6.4,6.26,9.39,-11.0,-15.92,no data,-33.7
Fiji,4.97,7.46,7.33,11.0,-13.83,-20.01,no data,-33.4
"Hong Kong, China",5.2,7.8,9.9,14.85,-6.38,-9.23,60.6,-18.8
India,6.4,9.6,10.9,16.35,-0.6,-0.87,86.8,-52.9
Indonesia,5.0,7.5,6.5,9.75,-0.84,-1.21,61.4,-32.5
Kazakhstan,7.46,11.2,11.33,17.0,-0.83,-1.2,82.8,-40.8
Kyrgyz Republic,7.99,11.98,12.61,18.91,-3.36,-4.87,85.4,-59.3
Lao People's Democratic Republic,3.67,5.5,5.42,8.13,-2.36,-3.41,90.6,-42
Malaysia,6.7,10.05,8.6,12.9,-3.39,-4.91,64.9,-51.8
Maldives,7.31,10.96,11.06,16.6,-32.03,-46.36,no data,no data
Mongolia,3.78,5.67,4.67,7.01,-2.25,-3.25,68,-0.5
Nepal,6.28,9.41,10.06,15.09,-1.43,-2.07,95.2,-62
Pakistan,7.26,10.89,11.11,16.67,-0.15,-0.21,90.1,-44.6
People's Republic of China,5.46,8.19,7.14,10.72,-0.14,-0.2,57.5,no data
Philippines,6.2,9.3,13.3,19.95,-1.64,-2.37,92.9,-63.2
Republic of Korea,4.8,7.2,2.3,3.45,-0.68,-0.99,63.1,-4.2
Singapore,7.3,10.95,7.7,11.55,-3.13,-4.53,55.6,-25.9
Sri Lanka,7.33,10.99,11.78,17.67,-3.52,-5.1,90.5,-66.4
"Taipei,China",2.0,3.0,2.7,4.05,-2.41,-3.48,29.7,-6.9
Thailand,6.6,9.9,8.9,13.35,-7.22,-10.45,71.2,-33.7
Viet Nam,3.57,5.35,5.13,7.7,-2.3,-3.32,75.5,-31.2
